appt,LName,Fname,gender,DOB,debut,retire,DOD,died,ChiefJustice
1.00,Wilson,James,1,09/14/1742,10/05/1789,08/21/1798,08/21/1798,1,0
2.00,Jay,John,1,12/12/1745,10/19/1789,06/29/1795,05/17/1829,1,1
3.00,Cushing,William,1,03/01/1732,02/02/1790,09/13/1810,09/13/1810,1,0
4.00,Blair,John Jr.,1,01/04/1732,02/02/1790,10/25/1795,08/31/1800,1,0
5.00,Rutledge,John,1,09/04/1739,02/15/1790,03/05/1791,06/21/1800,1,1
6.00,Iredell,James,1,10/05/1751,05/12/1790,10/20/1799,10/20/1799,1,0
7.00,Johnson,Thomas,1,11/04/1732,01/19/1792,01/16/1793,10/26/1819,1,0
8.00,Paterson,William,1,12/24/1745,03/11/1793,09/09/1806,09/09/1806,1,0
10.00,Chase,Samuel,1,04/17/1741,02/04/1796,06/19/1811,06/19/1811,1,0
11.00,Ellsworth,Oliver,1,04/29/1745,03/08/1796,12/15/1800,11/26/1807,1,1
12.00,Washington,Bushrod,1,06/05/1762,11/09/1798,11/26/1829,11/26/1829,1,0
13.00,Moore,Alfred,1,05/21/1755,04/21/1800,01/26/1804,10/15/1810,1,0
14.00,Marshall,John,1,09/24/1755,02/04/1801,07/06/1835,07/06/1835,1,1
15.00,Johnson,William,1,12/27/1771,05/07/1804,08/04/1834,08/04/1834,1,0
16.00,Livingston,Henry Brockholst,1,11/25/1757,01/20/1807,03/18/1823,03/18/1823,1,0
17.00,Todd,Thomas,1,01/23/1765,05/04/1807,02/07/1826,02/07/1826,1,0
18.00,Duvall,Gabriel,1,12/06/1752,11/23/1811,01/14/1835,03/06/1844,1,0
19.00,Story,Joseph,1,09/18/1779,02/03/1812,09/10/1845,09/10/1845,1,0
20.00,Thompson,Smith,1,01/17/1768,09/01/1823,12/18/1843,12/18/1843,1,0
21.00,Trimble,Robert,1,11/17/1776,06/16/1826,08/25/1828,08/25/1828,1,0
22.00,McLean,John,1,03/11/1785,03/12/1829,04/04/1861,04/04/1861,1,0
23.00,Baldwin,Henry,1,01/14/1780,01/18/1830,04/21/1844,04/21/1844,1,0
24.00,Wayne,James,1,01/01/1790,01/14/1835,07/05/1867,07/05/1867,1,0
25.00,Taney,Roger,1,03/17/1777,03/28/1836,10/12/1864,10/12/1864,1,1
26.00,Barbour,Philip,1,05/25/1783,05/12/1836,02/25/1841,02/25/1841,1,0
27.00,Catron,John,1,01/07/1786,05/01/1837,05/30/1865,05/30/1865,1,0
28.00,McKinley,John,1,05/01/1780,01/09/1838,07/19/1852,07/19/1852,1,0
29.00,Daniel,Peter,1,04/24/1784,01/10/1842,05/31/1860,05/31/1860,1,0
30.00,Nelson,Samuel,1,11/10/1792,02/27/1845,11/28/1872,12/13/1873,1,0
31.00,Woodbury,Levi,1,12/22/1789,09/23/1845,09/04/1851,09/04/1851,1,0
32.00,Greier,Robert,1,03/05/1794,08/10/1846,01/31/1870,09/25/1870,1,0
33.00,Curtis,Benjamin,1,11/04/1809,10/10/1851,09/30/1857,09/15/1874,1,0
34.00,Campbell,John,1,06/24/1811,04/11/1853,04/30/1861,03/12/1889,1,0
35.00,Clifford,Nathan,1,08/18/1803,01/21/1858,07/25/1881,07/25/1881,1,0
36.00,Swayne,Noah,1,12/07/1804,01/27/1862,01/24/1881,06/08/1884,1,0
37.00,Miller,Samuel,1,04/05/1816,07/21/1862,10/13/1890,10/13/1890,1,0
38.00,Davis,David,1,03/09/1815,12/10/1862,03/04/1877,06/26/1886,1,0
39.00,Field,Stephen,1,11/04/1816,05/20/1863,12/01/1897,04/09/1899,1,0
40.00,Chase,Salmon,1,01/13/1808,12/15/1864,05/07/1873,05/07/1873,1,1
41.00,Strong,William,1,05/06/1808,03/14/1870,12/14/1880,08/19/1895,1,0
42.00,Bradley,Joseph,1,03/14/1813,03/23/1870,01/22/1892,01/22/1892,1,0
43.00,Hunt,Ward,1,06/14/1810,01/09/1873,01/27/1882,03/24/1886,1,0
44.00,Waite,Morrison,1,11/29/1816,03/04/1874,03/23/1888,03/23/1888,1,1
45.00,Harlan,John Marshall,1,06/01/1833,12/19/1877,10/14/1911,10/14/1911,1,0
46.00,Woods,William,1,08/03/1824,01/05/1881,05/14/1887,05/14/1887,1,0
47.00,Matthews,Stanley,1,07/21/1824,05/17/1881,03/22/1889,03/22/1889,1,0
48.00,Gray,Horace,1,03/24/1828,01/09/1882,09/15/1902,09/15/1902,1,0
49.00,Blatchford,Samuel,1,03/09/1820,04/03/1882,07/07/1893,07/07/1893,1,0
50.00,Lamar,Lucius,1,09/17/1825,01/18/1888,01/23/1893,01/23/1893,1,0
51.00,Fuller,Melville,1,02/11/1833,10/08/1888,07/04/1910,07/04/1910,1,1
52.00,Brewer,David,1,06/20/1837,01/06/1890,03/28/1910,03/28/1910,1,0
