period smr lci uci
1790-1799 1.05 0.13 3.81
1800-1809 1.24 0.34 3.16
1810-1819 0.95 0.26 2.43
1820-1829 1.22 0.40 2.86
1830-1839 0.48 0.06 1.72
1840-1849 1.23 0.40 2.86
1850-1859 0.40 0.05 1.45
1860-1869 0.90 0.29 2.10
1870-1879 0.83 0.23 2.12
1880-1889 1.20 0.52 2.37
1890-1899 1.37 0.55 2.83
1900-1909 0.39 0.05 1.41
1910-1919 1.28 0.51 2.64
1920-1929 0.83 0.27 1.94
1930-1939 0.65 0.21 1.51
1940-1949 1.51 0.69 2.86
1950-1959 0.72 0.15 2.11
1960-1969 0.42 0.09 1.23
1970-1979 0.80 0.29 1.73
1980-1989 0.72 0.20 1.84
1990-1999 0.88 0.31 1.87
2000-2009 0.66 0.07 2.05
2010-2016 0.29 0.01 1.61

